Time,CF 3.0 V (1-1),CF 2.0 V (2-1),CF 2.5 V (3-1),CF 2.0 V (3-2),CF 2.0 V (4-1),CF 1.5 V (5-1),CF 1.5 V (6-1),CF 3.0 V (8-2),CF X-Ray,MC 1.5 V (1-2),MC 2.0 V (2-1),MC 2.5 V (2-2),MC 2.5 V (3-1),MC 3.0 V (4-1),MC 2.5 V (5-1),MC 2.0 V (5-2),MC 1.5 V (7-1),MC X-Ray
0.166666667,0.288527065,0.262018865,0.292167951,0.291136237,0.286940813,0.290862861,0.288242579,0.294402568,0.295109877,0.286339178,0.284650751,0.283890526,0.292853548,0.27819083,0.285734681,0.278702183,0.27476624,0.255864543
0.333333333,0.288412564,0.262241081,0.29241778,0.291783222,0.286847427,0.290400154,0.288062994,0.294467128,0.295198914,0.286897397,0.285123883,0.284665396,0.293347072,0.279080077,0.286019991,0.279771353,0.276026033,0.25647702
0.5,0.28869094,0.263087448,0.292603312,0.29228834,0.287272643,0.290188341,0.287843439,0.29459836,0.295495761,0.287414797,0.285411005,0.285454742,0.293290139,0.279403488,0.286295185,0.280540831,0.27761544,0.257481783
0.666666667,0.288716755,0.2636305,0.2928575,0.292754925,0.287433472,0.289940424,0.287431551,0.294674075,0.295484749,0.288167412,0.285483811,0.285904014,0.293614897,0.280349092,0.286478162,0.281787007,0.279181967,0.258513114
0.833333333,0.289371264,0.26444803,0.293400508,0.293455247,0.287383341,0.289823092,0.287306431,0.294560438,0.295508273,0.288475184,0.285599823,0.286408941,0.293915696,0.280817009,0.286903377,0.282993823,0.280269513,0.258853717
1,0.290085734,0.26525349,0.293938795,0.293752581,0.287653575,0.289475059,0.287117499,0.294774513,0.29554831,0.289095056,0.286342119,0.286886584,0.294227483,0.281665093,0.287108902,0.283895284,0.281778749,0.25896138
1.166666667,0.291057095,0.266266012,0.294088223,0.294519813,0.288048781,0.289698386,0.286916892,0.294945331,0.295683274,0.28946079,0.286654681,0.286870985,0.294710277,0.282328048,0.287482408,0.284932575,0.283258239,0.259627121
1.333333333,0.291932325,0.267290091,0.294685227,0.294652444,0.288004671,0.289564011,0.286741491,0.295113746,0.295488432,0.290057885,0.287175708,0.286871828,0.294958948,0.283090638,0.287656438,0.285725806,0.284327824,0.26032693
1.5,0.293255232,0.26822728,0.29488044,0.295212885,0.288427069,0.289524483,0.286652811,0.295461638,0.295422949,0.290312986,0.2871075,0.287016207,0.295474675,0.283655115,0.288061088,0.286793672,0.285023997,0.261633705
1.666666667,0.294117481,0.269665251,0.295449125,0.295419255,0.288507451,0.289575552,0.286703356,0.295638999,0.295315112,0.290605615,0.287434489,0.286552444,0.295893389,0.28471822,0.288439876,0.287091186,0.285802082,0.262426438
1.833333333,0.294943101,0.270908564,0.295962956,0.295865349,0.289005922,0.289559175,0.286851305,0.295836495,0.295346137,0.290991929,0.287278853,0.286662256,0.296207562,0.2853599,0.288580515,0.288130024,0.286675146,0.26284722
2,0.295915851,0.27188941,0.296376787,0.296279417,0.289196119,0.289742729,0.286794279,0.296156606,0.295177375,0.291260973,0.288174029,0.286039824,0.296511969,0.286249925,0.2891703,0.288503485,0.287212893,0.263853724
2.166666667,0.29657502,0.272753468,0.296734277,0.296738816,0.289404563,0.289866941,0.286869687,0.296485542,0.295164712,0.291310879,0.287911387,0.286498089,0.296983409,0.286960629,0.289129579,0.289403073,0.287807518,0.264629367
2.333333333,0.29719825,0.273877833,0.297050035,0.296960645,0.289681532,0.289892077,0.286967047,0.296744187,0.295124628,0.291636695,0.287978805,0.286505576,0.297400578,0.287585855,0.289419249,0.289957434,0.288268324,0.265244948
2.5,0.297812521,0.274648853,0.29741372,0.297195152,0.29004226,0.290022188,0.287187609,0.296958478,0.295025324,0.291933725,0.288438384,0.28733188,0.297755772,0.288630542,0.289758787,0.290272181,0.288624559,0.266214524
2.666666667,0.298410868,0.275662364,0.297881125,0.297339452,0.290201516,0.290254629,0.287277432,0.297296841,0.294934141,0.291982675,0.288549643,0.287765039,0.298250305,0.289520101,0.289809385,0.290717374,0.289086214,0.26718694
2.833333333,0.29874025,0.276634565,0.298135599,0.297771857,0.290754003,0.290302852,0.287391405,0.297552588,0.294868019,0.292229427,0.289053411,0.288416657,0.298602241,0.28995921,0.290383262,0.291241036,0.289204922,0.26774856
3,0.299134067,0.27717469,0.298562511,0.297978076,0.290751094,0.290439066,0.287574949,0.297821941,0.29509361,0.292372238,0.289183149,0.289119444,0.298979603,0.290638905,0.290375398,0.291574527,0.289625485,0.268154633
3.166666667,0.299363476,0.27800586,0.298716688,0.298380193,0.291269523,0.290788332,0.287783985,0.298075581,0.294934473,0.292436798,0.289157609,0.289703304,0.299531049,0.291344562,0.290669268,0.291943852,0.289858292,0.268970384
3.333333333,0.299939081,0.278807965,0.298994632,0.298410848,0.291466298,0.290605291,0.288027615,0.298213612,0.294880553,0.292806917,0.289468557,0.290406349,0.299948078,0.29194749,0.290873471,0.292312504,0.29007812,0.269918768
3.5,0.300188683,0.27933124,0.299236951,0.298743141,0.291834193,0.290861259,0.28825025,0.298587493,0.294962297,0.292795751,0.289426175,0.29057572,0.300352212,0.292408903,0.291180938,0.292755184,0.290361368,0.270519556
3.666666667,0.300398289,0.280072208,0.299303039,0.299069429,0.29214547,0.291100221,0.288468217,0.298922482,0.295062813,0.293215929,0.289846547,0.29131767,0.300726156,0.293163052,0.291400735,0.292911961,0.290648718,0.27093052
3.833333333,0.300637575,0.280713874,0.299517422,0.299094597,0.292305874,0.291334552,0.288614999,0.2988955,0.295071091,0.293268969,0.289824048,0.291614603,0.301175219,0.293678991,0.291795562,0.293173184,0.290837169,0.271271461
4,0.300741069,0.281232151,0.299817246,0.299256544,0.292628513,0.291439884,0.288885057,0.299132037,0.294985362,0.293421185,0.290002057,0.292044831,0.301522702,0.294085967,0.291828504,0.293686777,0.291282327,0.272101506
4.166666667,0.301310332,0.28176798,0.300172184,0.299655983,0.292713939,0.291652484,0.289019846,0.299445965,0.295002016,0.293582563,0.290412357,0.292441335,0.302029208,0.294555085,0.292072798,0.29378033,0.291435028,0.272946631
4.333333333,0.30120252,0.282247476,0.300164274,0.299701106,0.293052294,0.291840052,0.289184397,0.299538537,0.295122154,0.293888375,0.290018662,0.29276414,0.302200278,0.295207017,0.292101007,0.294160638,0.291524567,0.273015336
4.5,0.301196118,0.282794897,0.300485391,0.299718975,0.29319298,0.292008742,0.289418607,0.299780347,0.295163897,0.294124768,0.290396065,0.293219841,0.302604045,0.29551881,0.292412662,0.29428343,0.29189484,0.273780597
4.666666667,0.30190622,0.283141221,0.300632246,0.299997417,0.293589645,0.292118974,0.289618767,0.299892345,0.295154022,0.294171706,0.290688271,0.293653967,0.303035964,0.295899717,0.292488884,0.294608474,0.292249444,0.274226777
4.833333333,0.30195369,0.283572247,0.300904133,0.300046017,0.293844791,0.292271589,0.289878307,0.300101561,0.295220208,0.294345799,0.290495556,0.293790918,0.303250978,0.2964868,0.292721508,0.294853253,0.29236106,0.274590095
5,0.30204495,0.284095125,0.301004738,0.300321436,0.29383637,0.292415949,0.290066017,0.300335473,0.295336341,0.294570756,0.290650268,0.294223371,0.303618984,0.296859308,0.29286602,0.295092556,0.292669264,0.275089163
5.166666667,0.30201309,0.284443875,0.301109548,0.300271572,0.294234193,0.292656033,0.290350655,0.300406531,0.295392105,0.294666615,0.290938837,0.294435224,0.304057259,0.297226889,0.293039709,0.295348749,0.29292013,0.275679902
5.333333333,0.302419444,0.284882629,0.301126143,0.300477794,0.294388875,0.29295188,0.290447758,0.300541749,0.295551041,0.295039538,0.291252904,0.294665715,0.304343328,0.297693289,0.293174604,0.295498516,0.293082117,0.275892584
5.5,0.302530109,0.285204115,0.301059579,0.300719322,0.294509991,0.293032682,0.290672723,0.300638477,0.295567609,0.295126342,0.291156934,0.294880097,0.304621082,0.297801199,0.293114306,0.295723589,0.293090652,0.276700094
5.666666667,0.302727785,0.285570636,0.301187114,0.300750698,0.294600481,0.293009419,0.290952667,0.300844577,0.295749614,0.295331894,0.291811401,0.295212803,0.304919004,0.298415074,0.293498128,0.295940284,0.293166635,0.276791329
5.833333333,0.302506028,0.285741769,0.301379171,0.301050447,0.294962186,0.293279693,0.291061299,0.300841857,0.295776759,0.295651231,0.291807779,0.295284816,0.305188353,0.298823703,0.29369629,0.296205586,0.293732268,0.277178406
6,0.302677004,0.285770741,0.301440673,0.301128651,0.295163725,0.293215377,0.291216094,0.30083246,0.295918276,0.295592035,0.291512466,0.295463816,0.305444106,0.299020168,0.293850973,0.296298896,0.293653128,0.277594423
6.166666667,0.302340316,0.285806429,0.30132672,0.300897463,0.295376035,0.29323342,0.291261479,0.300634332,0.295934437,0.295724338,0.291443556,0.2957163,0.305779577,0.299250577,0.293968426,0.296419665,0.293974562,0.278004862
6.333333333,0.302286137,0.285943798,0.301301282,0.300925309,0.295262423,0.293338781,0.291260347,0.300509658,0.296029313,0.295721748,0.291600252,0.296056676,0.30601279,0.29915128,0.294085969,0.296489384,0.293855125,0.278419524
6.5,0.30178464,0.285859713,0.301064425,0.300931299,0.295465698,0.293516958,0.291475399,0.300479308,0.296249678,0.296005195,0.291553329,0.296285691,0.30606867,0.299453795,0.294445515,0.296483592,0.294100142,0.278608716
6.666666667,0.30141113,0.285788746,0.301278067,0.300648017,0.29562502,0.29348069,0.291572518,0.300438707,0.296304457,0.296043286,0.291752417,0.29637194,0.306506434,0.299723081,0.294364915,0.29661301,0.29416111,0.278889693
6.833333333,0.301355911,0.285909444,0.300920254,0.300601778,0.295691519,0.29365724,0.29170978,0.300389566,0.296354079,0.296167457,0.291660694,0.296469108,0.306760673,0.299825757,0.294334909,0.296774054,0.294404803,0.279306879
